gene,logFC_non_primary_minus_primary,effect_size,pgnn_score,combined_score
POLD1,-0.8358878701046898,0.8358878701046898,0.004298423,0.0035929996055305375
PAFAH1B2,2.86010305907727,2.86010305907727,0.0011994807,0.003430638500161393
HIP1R,1.2735084027725683,1.2735084027725683,0.0026249585,0.003342906733111162
TTC19,1.5262408489688593,1.5262408489688593,0.0021324055,0.003254564421776771
GLO1,1.6017317014972554,1.6017317014972554,0.0019240878,0.0030818723602250592
APP,0.7844555571736489,0.7844555571736489,0.0039113224,0.003068258630547496
FAS,-2.0030644178502075,2.0030644178502075,0.0015316044,0.003067902365215699
NAT8,-3.130431640820658,3.130431640820658,0.000980007,0.0030678449102013723
ARSK,-1.7306461135050066,1.7306461135050066,0.0017718221,0.0030663970417323973
PKLR,-1.084122409253864,1.084122409253864,0.0027589062,0.0029909920612540206
GPT,-2.7384428115147017,2.7384428115147017,0.0010788279,0.002954308476685342
IDI1,1.4662198631642045,1.4662198631642045,0.001957189,0.002869669474104811
EGLN2,-2.605367077975028,2.605367077975028,0.0010788484,0.0028107960456507357
FAR2,1.8537776421538086,1.8537776421538086,0.0015016171,0.002783664278007351
HSD17B1,0.6186716006208131,0.6186716006208131,0.004411512,0.0027292772239173604
MAP2K1,-1.9192241684608218,1.9192241684608218,0.0014039142,0.0026944260293970002
GMPR2,1.2585762498908615,1.2585762498908615,0.0021389779,0.002692066746658497
LIPH,3.3509463037149745,3.3509463037149745,0.00080286164,0.002690346255085097
BLMH,0.9158546395851156,0.9158546395851156,0.002897162,0.0026533792505412696
MBOAT1,0.9077386262932131,0.9077386262932131,0.0029104718,0.002641947631976051
SHMT2,-2.7268937083832254,2.7268937083832254,0.00095143024,0.0025944491257548488
NRP1,-1.1882495584930508,1.1882495584930508,0.0021497542,0.0025544444836004617
GALM,2.0805458440812643,2.0805458440812643,0.0012089611,0.0025152990471760265
FMO5,-0.8744123401246681,0.8744123401246681,0.0028309817,0.0024754453703889146
RELA,1.0322717182628023,1.0322717182628023,0.0023791764,0.002455956551477469
HADH,-0.7163353966295293,0.7163353966295293,0.003427166,0.0024550003346112867
HMGCL,-2.3016968552001673,2.3016968552001673,0.0010494539,0.0024155246452948957
MMP1,2.6258916394609777,2.6258916394609777,0.00090124155,0.0023665626616451124
BCR,2.8759145764109815,2.8759145764109815,0.00080739136,0.0023219885902839247
ITPKC,2.0242416467946094,2.0242416467946094,0.0011366385,0.0023008309019177907
MMP3,-2.8434144781133037,2.8434144781133037,0.00080583716,0.0022913290490025654
MCCC2,-2.9133523402885917,2.9133523402885917,0.00076593604,0.0022314415596461053
GFPT1,1.8979534132841955,1.8979534132841955,0.0011256137,0.0021363623509494814
LPCAT2,0.7152152868633385,0.7152152868633385,0.002962714,0.0021189783871330167
ITPKB,1.8254489885012646,1.8254489885012646,0.001127429,0.002058064049639393
FOXO1,0.30591851212987864,0.30591851212987864,0.006645329,0.0020329291085711605
EBP,-1.3997436276978865,1.3997436276978865,0.0014430805,0.0020199427168587324
GAL3ST4,1.7480459447735626,1.7480459447735626,0.0011489559,0.0020084276955948566
CYP24A1,0.695899038882118,0.695899038882118,0.00281717,0.001960465892568961
GNPDA1,3.2235477770697707,3.2235477770697707,0.0006067654,0.0019559372193379007
SUMF2,1.1000068878740847,1.1000068878740847,0.0017728116,0.001950105010864894
MORC2,-1.9074677182442854,1.9074677182442854,0.0010185828,0.001942913891845554
IP6K1,1.694584337616407,1.694584337616407,0.0011297159,0.0019143989315391994
GLYCTK,-1.8687462708225506,1.8687462708225506,0.0010221933,0.0019102200072004282
SAT1,-1.8425570842255958,1.8425570842255958,0.0010205078,0.0018803438222087657
AMDHD2,2.0054540812058574,2.0054540812058574,0.00092433934,0.0018537201084963379
UAP1,-3.653026225059941,3.653026225059941,0.0005058806,0.0018479951983332646
MAPK9,1.5190688403455843,1.5190688403455843,0.0012063708,0.001832560245195847
DPM2,-1.1110662007603433,1.1110662007603433,0.0016425314,0.001824961084548531
FOSB,-3.2378860505540383,3.2378860505540383,0.00055643055,0.0018016587048309434
NME2,-2.205203301456992,2.205203301456992,0.0008110265,0.0017884782929373
FEM1B,1.18186820209966,1.18186820209966,0.0015128634,0.0017880051943740712
GRAMD1A,-0.8286306679520906,0.8286306679520906,0.0021526793,0.0017837760491496793
NAPRT,-3.053861013287159,3.053861013287159,0.00058186904,0.001776947177975567
UGT1A1,-0.07767351965183734,0.07767351965183734,0.022463132,0.0017447905012299629
PRDX1,1.8833025294877204,1.8833025294877204,0.0008914483,0.0016788668187519016
G0S2,-3.3025352511813324,3.3025352511813324,0.00050244457,0.0016593409071094462
SLC10A5,-0.7653693913176299,0.7653693913176299,0.0021440934,0.0016410234546822252
NPHP3,-3.256616679757789,3.256616679757789,0.0005021927,0.0016354491439043602
GBGT1,1.2099936421272233,1.2099936421272233,0.001351568,0.0016353887268171702
GCSH,-3.5638303158709883,3.5638303158709883,0.0004583743,0.0016335682240104755
NPR2,-2.1668071793272357,2.1668071793272357,0.0007392207,0.0016017487294395561
CD2AP,3.166332223616066,3.166332223616066,0.00050412765,0.0015962356084438818
ILVBL,1.3472191021595017,1.3472191021595017,0.0011810956,0.0015911945614973896
SELENOI,1.961390411348796,1.961390411348796,0.00080563687,0.0015801684276905196
SLC16A2,-3.410905506699702,3.410905506699702,0.00044919946,0.0015321769195979495
MGLL,-0.22853387981479992,0.22853387981479992,0.00658125,0.0015040386222420743
EARS2,-1.4413278836786,1.4413278836786,0.0010180994,0.0014674150109312049
NMRK1,-2.4787936905332257,2.4787936905332257,0.0005816935,0.001441898143690846
PPTC7,2.42183516897447,2.42183516897447,0.0005791005,0.001402485980616778
MED18,-2.7399087423785815,2.7399087423785815,0.0005020657,0.0013756141930593463
ZBTB7A,1.7462394102689243,1.7462394102689243,0.0007874527,0.0013750809003878989
MMAB,-1.027223489971572,1.027223489971572,0.0013318048,0.001368061160109893
GFUS,-2.6505668281823054,2.6505668281823054,0.000501318,0.0013287769136911202
HS3ST1,3.0118455941103326,3.0118455941103326,0.00044006165,0.0013253977276827982
MYCN,-1.6163473996846656,1.6163473996846656,0.00079854415,0.0012907247571260414
LRP5,-1.7583490756095568,1.7583490756095568,0.000728023,0.001280118579006197
NADSYN1,0.6115406211805895,0.6115406211805895,0.0020185197,0.0012344067772734474
NR3C1,-0.2762586134925242,0.2762586134925242,0.0044519873,0.0012298998480654423
PCNA,0.602184399212007,0.602184399212007,0.0020373354,0.0012268516059025269
GMPPB,-2.4334481257492615,2.4334481257492615,0.00050317886,0.0012244596550649383
EIF2AK1,-1.0013924760578665,1.0013924760578665,0.0012184764,0.001220173148421917
MED12,2.4223558443158106,2.4223558443158106,0.00050080114,0.0012131185581109166
GCAT,-1.0375745963712981,1.0375745963712981,0.0010834449,0.001124154925941872
TRAP1,-1.38142538203828,1.38142538203828,0.00080948265,0.001118239876318388
FYN,-0.7669281281062351,0.7669281281062351,0.0014267936,0.0010942481716012368
ITGB1,1.2068296618015153,1.2068296618015153,0.0008900531,0.0010741424939646573
ELK1,-2.13453151755186,2.13453151755186,0.0005025907,0.0010727956300527741
EZH2,-0.5977986054100423,0.5977986054100423,0.0017586254,0.001051303800574839
DIO3,-2.311558531499854,2.311558531499854,0.00044691612,0.001033072773035027
PARP9,-1.7161118322264333,1.7161118322264333,0.00058597577,0.0010055999449436602
MIA2,0.4519645333860086,0.4519645333860086,0.0021734056,0.0009823022507097514
EXTL2,-2.2082378401666047,2.2082378401666047,0.000440922,0.0009736606731952533
GC,-1.7678733576625305,1.7678733576625305,0.0005386888,0.0009523335657690028
MOXD1,2.0489175963252135,2.0489175963252135,0.00045978188,0.0009420551782526826
PRDX2,-1.0409171236203756,1.0409171236203756,0.00089615845,0.000932826679769792
MED22,1.8037205601481374,1.8037205601481374,0.0005033413,0.0009078870842437187
MED14,1.7993443221362766,1.7993443221362766,0.00050449366,0.0009077577939861569
DPAGT1,-1.7836740196727467,1.7836740196727467,0.00050890795,0.0009077258880207242
FTO,-1.1224670617173,1.1224670617173,0.000807378,0.0009062551837807373
DNM1L,1.6765571767593175,1.6765571767593175,0.0005365073,0.0008994851417279409
CHST7,-2.0318685844431337,2.0318685844431337,0.00043665213,0.0008872197485514974
NUDT14,1.7269244687904,1.7269244687904,0.00050492486,0.0008719670913574799
INPP1,1.5715451676532555,1.5715451676532555,0.0005130931,0.0008063489510143401
MED24,1.5897271474198253,1.5897271474198253,0.0005028401,0.0007993785449681237
EIF4E,0.6041164203940534,0.6041164203940534,0.0013139938,0.0007938052452023315
NTSR1,0.06528437039443287,0.06528437039443287,0.012155456,0.0007935612615997318
HLA-G,-0.6553534367016998,0.6553534367016998,0.0012088213,0.0007922052009107654
DOLPP1,1.5032471309728521,1.5032471309728521,0.00050213264,0.0007548294444788404
EIF6,0.2682237144856209,0.2682237144856209,0.002761639,0.0007407370588852576
SOX17,1.428740089047448,1.428740089047448,0.0005030041,0.0007186621528123231
NUP107,-1.1445036275232152,1.1445036275232152,0.00061069796,0.0006989460262950289
MED20,1.3788878072331316,1.3788878072331316,0.0005048849,0.0006961796699897241
